HUC4,StreamGage_FEA1,Type,CH_MW,n_plants
415,04268000,Inland,1595.5776,155
1802,11425500,Inland,5146.18125,142
108,01170500,Coastal,815.9815,113
1704,13154500,Inland,822.573,96
202,01358000,Inland,608.851,72
1807,11078000,Coastal,740.488,69
1804,11303500,Inland,2752.32295,67
107,01100000,Coastal,150.12925,59
403,04067500,Inland,192.02,50
305,02171500,Coastal,1387,42
1801,11530500,Coastal,518.07345,39
1711,12200500,Coastal,1616.697,38
104,01059000,Coastal,258.969,37
110,01127000,Coastal,116.6154,36
106,01064140,Coastal,75.842,33
1701,12433000,Inland,3606.43505,32
601,03455000,Inland,1777.748,30
1602,10172630,Inland,60.435,29
1707,14105700,Inland,5519.7391,29
405,04119000,Inland,44.629,29
1019,06764880,Inland,263.583,27
1705,13269000,Inland,1190.268,27
1706,13342500,Inland,3901.38568,27
1709,14211720,Inland,718.499,27
707,05407000,Inland,173.332,27
1809,10261500,Inland,219.076,24
103,01049265,Coastal,251.855,24
1803,11189500,Inland,644.789,23
1710,14301000,Coastal,307.15,22
705,05369500,Inland,265.605,22
102,01034500,Inland,177.496,21
1702,12472800,Inland,13917.151,20
1402,09152500,Inland,323.2186,19
1601,10068500,Inland,126.305,18
1603,10217000,Inland,13.552,18
1708,14246900,Inland,2341.445,18
414,04260500,Inland,111.937,18
1401,09106150,Inland,59.733,17
301,02080500,Coastal,955.423,16
306,02198500,Coastal,1432.189,16
701,05288500,Inland,100.18,16
315,02420000,Inland,1967.4,15
407,04137500,Inland,118.55,15
208,02037500,Coastal,35.335,14
1003,06108800,Inland,396.19,13
313,02359170,Coastal,757.176,13
109,01112500,Coastal,8.43,12
205,01576000,Inland,1242.065,12
505,03198000,Inland,352.9,12
602,03566000,Inland,727.5,12
703,05340500,Inland,30.94,12
1501,09402300,Inland,8.242,11
207,01646500,Inland,11.569,11
1102,07134180,Inland,44.855,10
1503,09404200,Inland,2522,10
303,02105769,Coastal,10.179,10
413,04231600,Inland,65.95,10
513,03431500,Inland,965.3,10
204,01463500,Coastal,109.507,9
304,02135200,Coastal,326.521,9
704,05378500,Inland,13.975,9
709,05446500,Inland,10.901,9
1101,07074850,Inland,856.5,9
1111,07263451,Inland,591.3,9
1210,08176500,Coastal,23.15,9
1008,06294500,Inland,318.8,8
1408,09379500,Inland,41.225,8
1810,10254730,Inland,39.348,8
105,01021000,Coastal,28.838,8
401,04024000,Inland,98.8,8
402,04040000,Inland,30.408,8
406,04121970,Inland,85.62,8
708,05474500,Inland,131.645,8
1007,06214500,Inland,15.261,7
1018,06674500,Inland,290.2,7
1506,09514100,Inland,93.05,7
1605,10301755,Inland,16.455,7
1703,12510500,Inland,46.1,7
307,02226000,Coastal,179.5,7
501,03049500,Inland,100.8,7
503,03107500,Inland,177.21,7
1403,09185600,Inland,17.065,6
408,04156000,Inland,11.7,6
804,07362000,Inland,397.5,6
902,05092000,Inland,3.96,6
1209,08162500,Coastal,289.5,6
1805,11180700,Coastal,7.414,5
1020,06796000,Inland,112.8,5
1002,06054500,Inland,10.297,4
1405,09306500,Inland,3.303,4
1806,11143250,Coastal,6.049,4
409,04165500,Inland,5.8,4
514,03381700,Inland,274.303,4
603,03584600,Inland,1231.6,4
1302,08359500,Inland,23.69,3
1404,09234500,Inland,162.542,3
1406,09315000,Inland,2.5,3
1407,09333500,Inland,1316.9,3
1604,10335000,Inland,2.4228,3
203,01389500,Coastal,14.83,3
314,02376033,Coastal,10.647,3
316,02469761,Coastal,281.8,3
502,03085000,Inland,83.4,3
509,03277200,Inland,244.3,3
510,03290500,Inland,30.356,3
702,05330000,Inland,8.6,3
712,05543500,Inland,20.8,3
1029,06926510,Inland,263,3
1107,07185000,Inland,303.3,3
1012,06438500,Inland,6,2
1712,10396000,Inland,0.0475,2
101,01017000,Inland,2.3,2
412,04213500,Inland,2429.17,2
512,03377500,inland,19.1,2
604,03603000,Inland,458.6,2
903,05133500,Inland,18.2,2
1014,06452000,Inland,1324.4,2
1017,06485500,Inland,452.3,2
1021,06793000,Inland,8.6,2
1106,07152500,Inland,107,2
1114,07344370,Inland,100.085,2
1202,08040600,Coastal,60,2
1203,08067070,Coastal,4.1,2
1308,NA,Inland,75.6,2
1009,06308500,Inland,0.2025,1
1301,08251500,Inland,0.31,1
1303,08361000,Inland,27.9,1
1502,09402300,Inland,3,1
1507,09522700,Inland,0.0096,1
206,01594440,Coastal,0.372,1
302,02084000,Coastal,1.6,1
410,04193500,Inland,3.6,1
504,03150000,Inland,0.2,1
506,03237020,inland,5.2,1
507,03212500,Inland,3,1
508,03274000,Inland,2.2,1
706,05418500,Inland,1.2,1
710,05490600,Inland,3.2,1
711,05587450,Inland,27,1
713,05586100,Inland,7.6,1
802,NA,Inland,102.6,1
1004,06130500,Inland,179.7,1
1013,06342500,Inland,583.4,1
1027,06892350,Inland,7,1
1103,07146500,Inland,0.448,1
1109,07245000,Inland,90,1
1113,07316000,Inland,101.6,1
1201,08030500,Coastal,81,1
1206,08096500,Inland,41.8,1
1309,NA,Coastal,31.5,1
